epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.2957,0,106.755,0,0,0,0,0,0,149.055,0,5.001e-05,5.001e-05,5.001e-05
1,58.4164,1.23552,3.52117,1.21209,0.01529,0.66129,0.41947,0.30778,0.62025,3.3322,0.81839,0.00010002,0.00010002,0.00010002
2,112.935,1.12722,3.03053,1.108,0.01793,0.74194,0.54363,0.36149,0.70572,3.32094,0.81162,0.000205983,0.000205983,0.000205983
3,175.339,1.16354,2.70253,1.11491,0.01847,0.75806,0.55055,0.37182,0.72813,3.24435,0.81411,0.000300393,0.000300393,0.000300393
4,223.414,1.4176,2.43846,1.30252,0.01739,0.72581,0.56138,0.35035,0.6888,3.20313,0.83942,0.000383252,0.000383252,0.000383252
5,275.455,1.32621,2.17648,1.24189,0.01699,0.70968,0.61606,0.36888,0.75955,3.17393,0.86162,0.000454558,0.000454558,0.000454558
6,325.08,1.37826,1.97203,1.31523,0.01675,0.69355,0.56785,0.35247,0.85913,3.02136,0.88402,0.000514311,0.000514311,0.000514311
7,373.292,1.30954,1.71216,1.26262,0.34398,0.59677,0.50785,0.30079,1.03308,3.07115,0.95893,0.000562512,0.000562512,0.000562512
8,422.002,1.3621,1.67766,1.2886,1,0.26621,0.54327,0.35418,0.85542,2.75141,0.91272,0.000599161,0.000599161,0.000599161
9,469.496,1.24212,1.48888,1.24362,1,0.36161,0.50571,0.34837,0.80418,2.58497,0.91498,0.000624258,0.000624258,0.000624258
10,525.456,1.33508,1.54497,1.334,1,0.37722,0.53779,0.37051,0.80975,2.46058,0.93967,0.000637803,0.000637803,0.000637803
11,578.577,1.24105,1.88076,1.26971,0.90201,0.44551,0.5749,0.37291,0.89894,2.20717,0.99008,0.000639795,0.000639795,0.000639795
12,623.829,1.25043,1.62221,1.30348,0.96942,0.3871,0.56668,0.39735,0.80748,2.17654,0.93949,0.000630234,0.000630234,0.000630234
13,675.63,1.20991,1.47743,1.26432,1,0.38553,0.54073,0.35695,0.80431,2.22899,0.97339,0.000609122,0.000609122,0.000609122
14,721.846,1.11411,1.82551,1.17458,1,0.38553,0.54073,0.35695,0.80431,2.22899,0.97339,0.000576457,0.000576457,0.000576457
15,774.022,1.10723,1.44455,1.20109,0.95589,0.40323,0.60041,0.3887,0.79438,2.05728,0.99215,0.000511769,0.000511769,0.000511769
16,821.582,1.13559,1.46048,1.22309,0.88057,0.51613,0.669,0.45043,0.79047,1.91976,0.99549,0.000429253,0.000429253,0.000429253
17,855.485,1.12727,1.4275,1.21906,0.91558,0.54839,0.73572,0.52856,0.76577,1.73147,0.97362,0.000346736,0.000346736,0.000346736
18,897.974,1.11427,1.4157,1.17773,0.88479,0.6129,0.79433,0.58592,0.72068,1.57656,0.92951,0.00026422,0.00026422,0.00026422
19,929.79,1.06028,1.35236,1.17781,0.87946,0.66129,0.81097,0.60509,0.71078,1.46519,0.90066,0.000181703,0.000181703,0.000181703
20,964.681,1.03417,1.39601,1.13517,0.89801,0.66129,0.82029,0.61605,0.69918,1.41969,0.89055,9.91865e-05,9.91865e-05,9.91865e-05
1,81.1383,1.29467,3.59751,1.24545,0.01311,0.59677,0.26437,0.20588,0.86584,3.43204,1.0326,5.001e-05,5.001e-05,5.001e-05
2,172.906,1.02139,3.2938,1.09137,0.01639,0.70968,0.47019,0.35315,0.77759,3.38508,0.96296,0.000115246,0.000115246,0.000115246
3,227.829,1.05522,2.92689,1.07034,0.01852,0.79032,0.59145,0.37638,0.8105,3.33796,0.9414,0.000178832,0.000178832,0.000178832
4,286.935,1.35656,2.68611,1.28695,0.01786,0.79032,0.52569,0.28323,1.01523,3.36108,1.02746,0.000240767,0.000240767,0.000240767
5,336.978,1.24878,2.37012,1.18333,0.01834,0.79032,0.59398,0.32994,1.0398,3.36155,1.04505,0.000301052,0.000301052,0.000301052
6,387.016,1.25971,2.11735,1.26745,0.01859,0.77419,0.59513,0.35451,0.96824,3.32534,1.01764,0.000359687,0.000359687,0.000359687
7,444.375,1.26313,1.82285,1.22813,0.01845,0.74194,0.55607,0.33923,1.07278,3.33605,1.07544,0.000416671,0.000416671,0.000416671
8,494.415,1.33889,1.75435,1.2973,0.01598,0.62903,0.48892,0.3189,1.09525,3.29059,1.12119,0.000472005,0.000472005,0.000472005
9,551.636,1.25105,1.55985,1.22612,0.01433,0.54839,0.50474,0.32937,1.1093,3.23935,1.12153,0.000525688,0.000525688,0.000525688
10,602.264,1.35059,1.57772,1.35788,0.01326,0.51613,0.43258,0.29348,1.11277,3.18967,1.17507,0.000577722,0.000577722,0.000577722
11,654.875,1.48525,1.78748,1.46271,0.28284,0.45161,0.43036,0.28518,1.27269,3.13596,1.30131,0.000628105,0.000628105,0.000628105
12,704.984,1.43133,1.56477,1.4016,1,0.109,0.43925,0.26191,1.31655,3.10005,1.32119,0.000676837,0.000676837,0.000676837
13,756.461,1.39021,1.50483,1.34386,1,0.16986,0.42659,0.25752,1.44291,3.12365,1.38629,0.00072392,0.00072392,0.00072392
14,805.742,1.19868,1.3446,1.21406,1,0.26474,0.43438,0.28312,1.35568,2.93809,1.40662,0.000769352,0.000769352,0.000769352
15,855.241,1.23687,1.32493,1.21587,0.77564,0.35484,0.43051,0.29964,1.23055,2.73302,1.32762,0.000813133,0.000813133,0.000813133
16,905.438,1.15151,1.22044,1.23047,0.74485,0.35484,0.45619,0.29134,1.31485,2.7156,1.42118,0.000855265,0.000855265,0.000855265
17,956.686,1.24492,1.32334,1.26645,0.77859,0.39714,0.52298,0.3418,1.18554,2.65208,1.40191,0.000895746,0.000895746,0.000895746
18,1006.63,1.16112,1.22471,1.20367,0.92635,0.40578,0.52193,0.34427,1.18958,2.62248,1.19365,0.000934576,0.000934576,0.000934576
19,1058.16,1.27531,1.32345,1.27196,0.81982,0.44043,0.49726,0.32277,1.20174,2.59599,1.26229,0.000971757,0.000971757,0.000971757
20,1111.62,1.17085,1.23429,1.20355,0.74724,0.42924,0.52552,0.33021,1.1483,2.44115,1.23505,0.00100729,0.00100729,0.00100729
21,1168.74,1.12332,1.16324,1.13521,0.7283,0.53226,0.57556,0.37701,1.1736,2.25345,1.24825,0.00104117,0.00104117,0.00104117
22,1220.92,1.21082,1.17025,1.22623,0.74017,0.48387,0.57938,0.36025,1.19372,2.22057,1.23897,0.0010734,0.0010734,0.0010734
23,1271.6,1.16938,1.19936,1.19183,0.71263,0.48004,0.58041,0.34299,1.26144,2.22229,1.2547,0.00110397,0.00110397,0.00110397
24,1322.78,1.06713,1.07701,1.11567,0.63647,0.45161,0.51317,0.3028,1.35832,2.35476,1.30279,0.0011329,0.0011329,0.0011329
25,1371.65,1.15144,1.21149,1.17478,0.78023,0.51613,0.60572,0.41953,1.17185,2.14869,1.21621,0.00116018,0.00116018,0.00116018
26,1422.41,1.08331,1.12734,1.11593,0.91171,0.49967,0.63861,0.44836,1.18712,2.05005,1.25803,0.00115127,0.00115127,0.00115127
27,1478.2,1.03116,1.17571,1.11825,0.64775,0.59325,0.6256,0.40369,1.32382,2.01024,1.40743,0.00113064,0.00113064,0.00113064
28,1526.38,1.13036,1.09274,1.1743,0.73604,0.58065,0.64244,0.41161,1.30716,2.01417,1.41285,0.00111001,0.00111001,0.00111001
29,1579.37,1.16551,1.13596,1.19861,0.6942,0.56452,0.62655,0.40834,1.29411,1.98824,1.38262,0.00108938,0.00108938,0.00108938
30,1628.89,1.2362,1.22996,1.24748,0.73786,0.5,0.62794,0.40942,1.29357,2.03198,1.3523,0.00106876,0.00106876,0.00106876
31,1681.53,1.10261,1.08699,1.16464,0.74789,0.57423,0.66878,0.43633,1.3146,1.97665,1.39923,0.00104813,0.00104813,0.00104813
32,1733.54,1.16125,1.1624,1.1572,0.73666,0.74194,0.74866,0.49093,1.26144,1.82428,1.33009,0.0010275,0.0010275,0.0010275
33,1782.09,1.05633,1.04826,1.11987,0.85285,0.70968,0.763,0.49959,1.2135,1.72533,1.26494,0.00100687,0.00100687,0.00100687
34,1830.79,0.97913,1.10484,1.11563,0.92349,0.66129,0.77033,0.50364,1.24378,1.72196,1.28883,0.000986239,0.000986239,0.000986239
35,1883.76,1.08363,1.04663,1.14232,0.91095,0.66002,0.77021,0.52982,1.08377,1.64152,1.17533,0.00096561,0.00096561,0.00096561
36,1940.29,1.05554,1.03297,1.13058,0.85118,0.73805,0.78997,0.53101,1.10356,1.72281,1.20578,0.000944981,0.000944981,0.000944981
37,1989.42,1.13237,1.07043,1.17481,0.87719,0.74194,0.79842,0.52881,1.04394,1.7825,1.15935,0.000924352,0.000924352,0.000924352
38,2036.77,1.21309,1.18622,1.24753,0.89871,0.71561,0.77682,0.53602,1.04344,1.9733,1.18015,0.000903722,0.000903722,0.000903722
39,2086.82,1.00535,0.97958,1.12033,0.88814,0.72581,0.76645,0.5338,1.0508,2.16682,1.17882,0.000883093,0.000883093,0.000883093
40,2135.41,1.03462,1.02964,1.12153,0.84946,0.72812,0.78609,0.53252,1.09556,1.87655,1.19497,0.000862464,0.000862464,0.000862464
41,2182.84,1.08467,1.02862,1.12203,0.83675,0.74404,0.78179,0.53431,1.0695,1.5794,1.17229,0.000841835,0.000841835,0.000841835
42,2231.36,1.11308,1.09263,1.18523,0.84391,0.74194,0.77445,0.53298,1.07563,1.47366,1.17221,0.000821206,0.000821206,0.000821206
43,2279.89,1.09852,1.11579,1.16706,0.9269,0.67742,0.77335,0.52579,1.12746,1.5035,1.18942,0.000800577,0.000800577,0.000800577
44,2327.34,1.00043,0.94463,1.08338,0.92939,0.66129,0.77004,0.52854,1.1293,1.5032,1.1928,0.000779948,0.000779948,0.000779948
45,2374.77,0.86703,0.95382,1.04776,0.90927,0.74194,0.79243,0.55352,1.18401,1.45551,1.22235,0.000759318,0.000759318,0.000759318
46,2425.87,1.05969,1.00909,1.11803,0.90107,0.75806,0.81247,0.55517,1.16851,1.35323,1.22045,0.000738689,0.000738689,0.000738689
47,2479.03,0.98535,0.92202,1.07154,0.93628,0.74194,0.83485,0.56788,1.13011,1.29682,1.21007,0.00071806,0.00071806,0.00071806
48,2526.67,0.93996,0.9603,1.08463,0.87315,0.79032,0.84818,0.56948,1.09872,1.30982,1.20191,0.000697431,0.000697431,0.000697431
49,2574.69,1.03228,0.9188,1.12143,0.8712,0.76372,0.8417,0.57539,1.08358,1.35935,1.1922,0.000676802,0.000676802,0.000676802
50,2622.63,0.93397,0.97175,1.0894,0.90462,0.74194,0.83514,0.56553,1.12201,1.38525,1.2191,0.000656173,0.000656173,0.000656173
51,2670.33,0.95089,0.90911,1.09283,0.90911,0.70968,0.82444,0.56464,1.14698,1.38119,1.23984,0.000635544,0.000635544,0.000635544
52,2726.13,0.88649,0.8973,1.03813,0.90009,0.79032,0.83374,0.55768,1.1259,1.34994,1.23613,0.000614915,0.000614915,0.000614915
53,2792.14,0.8907,0.87029,1.05173,0.85863,0.78375,0.83412,0.57294,1.05016,1.28845,1.17511,0.000594286,0.000594286,0.000594286
54,2856.46,0.85002,0.86389,1.01787,0.91258,0.75806,0.84927,0.58202,1.03054,1.22349,1.15547,0.000573656,0.000573656,0.000573656
55,2919.01,0.9802,0.91557,1.08712,0.8698,0.77419,0.86029,0.61436,1.0227,1.2051,1.1568,0.000553027,0.000553027,0.000553027
56,2977.14,0.86928,0.84647,1.03696,0.84739,0.80645,0.84022,0.61609,1.00395,1.18902,1.14324,0.000532398,0.000532398,0.000532398
57,3029.23,0.80719,0.78536,0.97563,0.85736,0.80645,0.83194,0.6216,1.00387,1.22887,1.13621,0.000511769,0.000511769,0.000511769
58,3082.72,0.77911,0.79546,0.99703,0.84533,0.80645,0.83167,0.62373,1.00044,1.2149,1.10651,0.00049114,0.00049114,0.00049114
59,3138.49,0.8798,0.81133,1.02974,0.85783,0.79032,0.83303,0.62273,1.01341,1.22194,1.1115,0.000470511,0.000470511,0.000470511
60,3200.16,0.88401,0.82156,1.03027,0.87124,0.77419,0.83892,0.64188,0.98527,1.18567,1.10746,0.000449882,0.000449882,0.000449882
